Group1,Group2
0.026355113,0.00300293
-0.020757976,0.002190451
-0.009764652,0.015728485
-0.028115931,0.009119396
-0.013974372,0.007190251
-0.006576598,0.00024401
-0.016270262,-0.048910378
-0.031647415,-0.028635604
-0.043803389,0.003208052
-0.034789983,-0.010112431
-0.021697824,0.014000341
-0.013752862,-0.001580184
-0.04062788,0.013708729
-0.054210316,0.009707639
-0.042533063,0.05018129
-0.010106708,0.058833849
-0.011665871,0.045855017
-0.005806151,-1.91E-05
-0.00880725,-0.05948126
-0.005498963,-0.017581242
,0.006555056
,0.013974428
,-0.038329029
,-0.027368045
,-0.1596949
,-0.202194769
,0.03897539
,0.001015806
,0.041031791
,0.032109454
,-0.036479896
,-0.018630525
,-0.010089976
,-0.03789929
,0.0329667
,0.029579836
,0.037327042
,0.029827048
,-0.001303752
,-0.046732698
,0.008263947
,0.016112954
,0.010767369
,-0.013317637
,-0.011705208
,-0.14702753
,-0.170699799
,0.032296038
,-0.001768327
,0.047449316
,0.048814104
,0.022847135
,-0.000814498
,-0.038838974
,-0.00133776
,0.014832024
,0.013011637
,-0.003137266
,-0.012468082
,-0.141833751
,-0.169537369
,0.033826072
,0.004386747
,0.039548519
,0.046626199
,0.02652735
,-0.001094492
,-0.051753721
,-0.03089167
,0.016940396
,0.014727815
,-0.026615869
,-0.017349014
,-0.150546288
,-0.177032585
,0.037627603
,0.000394041
,-0.015529818
,-0.018088676
,0.041827438
,0.033742084
,0.033599982
,-0.005381038
,0.00324956
,-0.011012029
,0.004318205
,0.006349356
,0.020597187
,-0.019200557
,-0.003156639
,-0.021118667
,-0.013852312
,-0.014790157
,-0.019439681
,-0.012532599
,-0.014954064
,-0.011074076
,0.026210062
,0.015529467
,-0.016341629
,-0.01354928
,0.019858575
,-0.012204522
,-0.005478642
,0.008931078
,-0.046197513
,-0.072729639
,-0.013438313
,0.032190033
,0.011648908
,0.08083729
,-0.051426231
,-0.025940486
,0.005427941
,-0.014225597
,0.144379036
,0.177464836
,0.001420401
,-0.032011066
,-0.029267809
,0.007085228
,-0.037449534
,-0.020794375
,-0.006007159
,0.007349184
,0.007144627
,-0.020311649
,-0.043196026
,-0.011198269
,0.032924847
,0.0098267
,0.052810748
,-0.04617039
,-0.016545509
,0.008076471
,-0.008425248
,0.133751533
,0.148819296
,0.000592956
,-0.021140676
,-0.045964665
,-0.055487546
,-0.01590653
,0.031133156
,-0.008424624
,0.049548519
,-0.039236293
,-0.016207255
,0.010825503
,-0.009998955
,0.133659089
,0.143250097
,0.003455787
,-0.021704348
,-0.029153862
,-0.053895787
,-0.014949776
,0.032611877
,0.004261332
,0.072899637
,-0.042972484
,-0.015264325
,0.007229778
,-0.018484321
,0.141422778
,0.154536469
,0.004760299
,-0.023426708
,-0.032087358
,0.013228785
,-0.063589812
,-0.057065092
,-0.049606349
,-0.028881118
,-0.033580519
,0.008191693
,-0.006298053
,-0.011712189
,-0.032788606
,-0.012917268
,-0.00339587
,-0.011280298
,0.035458834
,0.01963584
,0.000387415
,-0.016307591
,-0.015361441
,-0.00684331
,-0.022795664
,-0.000561284
,-0.025234599
,0.003887747
,0.014412066
,-0.025133355
,0.010432371
,0.000718429
,-0.034507544
,-0.010180465
,-0.03709305
,0.021696853
,-0.0287283
,0.038874604
,-0.017522284
,-0.009417081
,-0.000816204
,0.001591815
,-0.014168953
,-0.009549295
,-0.010669158
,-0.017286659
,-0.007139753
,-0.020753071
,-0.012782176
,-0.005349248
,-0.002496267
,-0.004886027
,-0.000722228
,-0.007084908
,-0.008372928
,-0.00851718
,0.022352238
,-0.019824696
,0.026958757
,-0.013495993
,-0.007098595
,0.008779323
,-0.001012177
,-0.012522742
,-0.007942448
,-0.010831023
,-0.014555507
,-0.023274767
,-0.001618797
,-0.009284427
,0.021993782
,-0.018540222
,0.043428086
,-0.012748664
,-0.006915898
,0.00816837
,-0.001184189
,-0.011912903
,-0.006895851
,-0.013767369
,-0.015065993
,-0.013889417
,-0.006343526
,-0.014278702
,0.022254586
,-0.0250142
,0.03509229
,-0.013926997
,-0.006516777
,0.005597083
,0.003054564
,-0.01280059
,-0.007524305
,-0.013369254
,-0.015609382
,-0.008781965
,-0.016279195
,-0.008797523
,-0.032411473
,-0.010613821
,-0.024217558
,-0.033711968
,-0.015901696
,-0.002189117
,-0.008767699
,0.020099335
,0.014139386
,-0.011873611
,-0.017131798
,0.035458834
,0.01963584
,0.000387415
,-0.016307591
,-0.015361441
,-0.00684331
,-0.022795664
,-0.000561284
,-0.025234599
,0.003887747
,0.014412066
,-0.025133355
,0.010432371
,0.000718429
,-0.034507544
,-0.010180465
,-0.03709305
,0.021696853
,-0.0287283
,0.038874604
,-0.017522284
,-0.009417081
,-0.000816204
,0.001591815
,-0.014168953
,-0.009549295
,-0.010669158
,-0.017286659
,-0.007139753
,-0.020753071
,-0.012782176
,-0.005349248
,-0.002496267
,-0.004886027
,-0.000722228
,-0.007084908
,-0.008372928
,-0.00851718
,0.022352238
,-0.019824696
,0.026958757
,-0.013495993
,-0.007098595
,0.008779323
,-0.001012177
,-0.012522742
,-0.007942448
,-0.010831023
,-0.014555507
,-0.023274767
,-0.001618797
,-0.009284427
,0.021993782
,-0.018540222
,0.043428086
,-0.012748664
,-0.006915898
,0.00816837
,-0.001184189
,-0.011912903
,-0.006895851
,-0.013767369
,-0.015065993
,-0.013889417
,-0.006343526
,-0.014278702
,0.022254586
,-0.0250142
,0.03509229
,-0.013926997
,-0.006516777
,0.005597083
,0.003054564
,-0.01280059
,-0.007524305
,-0.013369254
,-0.015609382
,-0.008781965
,-0.016279195
,-0.008797523
,-0.032411473
,-0.010613821
,-0.024217558
,-0.033711968
,-0.015901696
,-0.002189117
,-0.008767699
,0.020099335
,0.014139386
,-0.011873611
,-0.017131798
,0.024315264
,0.024763832
,0.004402847
,-0.028462965
,-0.040052922
,-0.03165772
,-0.00063222
,0.006438469
,-0.013714476
,0.000803349
,0.013172279
,-0.003878338
,-0.006771108
,0.004777155
,-0.060888943
,-0.057986421
,0.067730775
,-0.017329617
,-0.028163632
,-0.022907911
,-0.033046356
,-0.015045658
,-0.03060637
,-0.022831492
,-0.0205603
,-0.024558641
,-0.020584338
,-0.022479783
,-0.016330009
,0.350437561
,-0.01832345
,-0.01604898
,-0.005260344
,-0.007210994
,-0.015548156
,-0.014121509
,-0.031318712
,0.050321549
,-0.012804179
,-0.026568678
,-0.018034556
,-0.023572175
,-0.006980708
,-0.008534903
,-0.007226741
,-0.015566152
,-0.0169299
,-0.014811224
,-0.011796579
,-0.040962652
,-0.035150511
,0.00379403
,-0.012863627
,-0.024261478
,-0.013497235
,-0.019764537
,-0.006818156
,-0.009170744
,-0.006867596
,-0.01442969
,-0.016719302
,-0.015079059
,-0.011542449
,-0.025213997
,-0.033737585
,0.014765952
,-0.012905441
,-0.029269504
,-0.017016674
,-0.023271577
,-0.006802406
,-0.01381498
,-0.009978975
,-0.015084476
,-0.017555654
,-0.015320092
,-0.012379114
,-0.014789794
,-0.037550621
,-0.052348979
,-0.039215679
,-0.135092833
,-0.076312994
,-0.041573766
,-0.040410903
,-0.017400255
,-0.006816971
,0.009423014
,-0.009206294
,-0.023049412
,-0.023988296
,0.022320354
,0.002774733
,0.00322028
,-0.001625281
,-0.014161924
,0.001307403
,-0.023097753
,0.009239708
,-0.012121633
,0.013726168
,-0.001859603
,-0.020933498
,0.011739828
,0.012186092
,-0.00463931
,0.01053829
,-0.004515688
,0.000906582
,-0.011449703
,0.00954484
,-0.008541164
,-0.001136926
,-0.007146893
,-0.004342403
,-0.003779049
,-0.001915185
,-0.00519156
,-0.002807245
,-0.003057967
,-0.004155795
,-0.011836144
,-0.012448277
,-0.005021665
,-0.005621711
,-0.003527838
,-0.000993571
,0.005251816
,-0.001041124
,0.001015244
,-0.008325219
,0.004573429
,-0.006025201
,-0.001737864
,-0.007230232
,-0.001861109
,-0.004057381
,-0.001828164
,-0.004858899
,-0.002046174
,-0.005040068
,0.012502867
,-0.002527456
,0.000999387
,-0.005949747
,0.009120666
,-0.005492402
,-0.001645514
,-0.007031424
,-0.001936322
,-0.003629241
,-0.001573724
,-0.005234544
,-0.00191788
,-0.002851555
,0.004553212
,-0.003110837
,0.001002557
,-0.009731475
,0.008722888
,-0.005604046
,-0.001631917
,-0.009847415
,-0.003827926
,-0.00363492
,-0.001765822
,-0.005221682
,-0.002100411
,0.003086825
,-0.004193809
,-0.008283863
,-0.003239133
,-0.008533707
,0.000286281
,-0.006850757
,0.001343325
,0.00182398
,-0.004332869
,0.024014435
,0.018778455
,-0.002329756
,-0.001394002
,0.010749966
,0.002403641
,-0.001240358
,-0.007578134
,-0.008997797
,-0.010627208
,-0.017135591
,-0.000105258
,-0.021331889
,0.007084043
,-0.008209217
,-0.026123135
,0.017264048
,0.018641994
,-0.000590825
,0.022240641
,-0.010517514
,-0.015815031
,-0.019656826
,-0.000787067
,1.02E-05
,-0.005153898
,-0.015680715
,-0.012370349
,0.00214957
,-0.004634085
,-0.011579176
,-0.001692547
,-0.008141578
,-0.006830894
,-0.017455868
,-0.012205978
,-0.005363891
,-0.002872463
,-0.003842538
,0.000757016
,0.010133574
,-0.002707926
,-0.015694772
,-0.012965941
,4.50E-05
,0.005328378
,-0.007022059
,-0.0154252
,-0.005929245
,0.001195265
