distance1,distance2,distance3
0.2223626277024188,0.17418250452665923,0.13107264892879186
0.23574650728583366,0.2104428779251231,0.1686432861277137
0.210625360585587,0.1938235018946275,0.14341380016064617
0.22533987138981662,0.1930859035957372,0.1527817641886712
0.21759771666910607,0.2082069075951371,0.14615028333515612
0.23808128278885857,0.19685116339711964,0.1709950200114679
0.22755054733936111,0.18508818410092795,0.12933972869609753
0.22349510070352457,0.1770911708094363,0.13102878191011222
0.2195898879192571,0.15897867019229933,0.12667831053222534
0.237423852675817,0.18092587243601793,0.13447427684809035
0.22720214130163793,0.1807848148398788,0.12897425573667914
0.26657934098742075,0.18902419141280644,0.15101055449091647
0.21633084753674467,0.18238383310646722,0.11981412867003587
0.24110922183528186,0.20197665294370581,0.13339644951818302
0.2152692587929371,0.1731342715725165,0.13407456095810644
0.2299877920914488,0.19683632685381156,0.15359230879359423
0.22171895686428664,0.1877780848294176,0.14555979336405134
0.2076878728552656,0.20569426193131024,0.1600799618933434
0.23799491908486506,0.19504991303020663,0.14024665587471308
0.22008614883216512,0.17232219091050474,0.11363522583220304
0.21050611467137997,0.17895099318189092,0.13370989001307293
0.24154392512885287,0.1919736962523931,0.12862328924905286
0.22182972285233366,0.19432020819025075,0.13685399152078742
0.22434255593606167,0.1851737130392208,0.12313695553228174
0.24226395227731298,0.1793851839221742,0.16015068578971686
0.22459086227563002,0.18378687219210751,0.14067493714315413
0.2165665012217088,0.17726759086947966,0.13082188022739186
0.22970801508841202,0.20132984337684423,0.1415802142126279
0.23183427494518166,0.17983111739459123,0.14327513280686358
0.21593246475461383,0.2255786015030298,0.16162848644579816
0.23478317096631354,0.2117998824041383,0.15308632781539547
0.22289116211298846,0.19383374954305863,0.14141750208966072
0.22714578290566378,0.18861294776452744,0.17647065342696755
0.20377873650005934,0.17122536571327088,0.11251499746934422
0.2055279456504766,0.1932826788550515,0.14838508194712124
0.2173483698577697,0.16416689286458536,0.11901280550886606
0.20328398941748682,0.2108647911544739,0.15459402016425255
0.22314726048168473,0.18993567053395888,0.13363901978625672
0.22309250508759215,0.1873879257160245,0.13149507851406725
0.21890654018551892,0.188640592112761,0.14783093113505794
0.22710325177413906,0.19069275649441558,0.13419133672208233
0.2296095248479818,0.18511224983497032,0.14666622204757024
0.2177090812468383,0.17323311632411945,0.12109335674994003
0.2247112385792633,0.18426939067281545,0.133872811007881
0.22341280551078843,0.18174069696041414,0.12128811432807754
0.2161991772839676,0.19174292479042163,0.16236047104997114
0.22033628757011353,0.18275846137367965,0.12655946088407302
0.2295405536149206,0.18721353795947404,0.14229067309475288
0.21521442848891695,0.17814777038826288,0.1406197934865024
0.21683273584133253,0.17465262348255736,0.13209519212996837
0.23064786054854744,0.18104961281146703,0.14714937046482496
0.2258462901700287,0.18848252155033077,0.17177637328628967
0.2308277541297188,0.20395447236369943,0.14792886576431577
0.2263432517163363,0.19257159653553066,0.16294971898677602
0.23470777064116607,0.1869997866430674,0.14112969788593982
0.25083355897287124,0.17768788083169332,0.15236636621396585
0.24008839186040418,0.17558773461461907,0.1370057816062806
0.22570145577327738,0.1927086186254749,0.13817324952005214
0.2305408843834218,0.1799002796281811,0.14981579188084507
0.21806155103093872,0.2015464390400737,0.16715068855328025
0.22445298673097605,0.1971407517958576,0.13866880094381187
0.20968952062743548,0.19637373174703118,0.15254066192342947
0.20611696741428415,0.20550023213716176,0.13931629126931636
0.2104743072718661,0.19381220967464255,0.15578465892252913
0.21435224093658584,0.16896511412542967,0.11433252774054106
0.22279280817439434,0.20460012492354163,0.14704922318393698
0.22451664269243463,0.19047165350039466,0.13911150851597212
0.1995698007733751,0.21125217613078895,0.15715045711031608
0.24162085676802722,0.19094368064523304,0.14323024164927364
0.2206057585288812,0.18720097974548305,0.135270646253163
0.22836847901764318,0.18870239174246245,0.12016057281094156
0.22127537573324785,0.18715334685574783,0.13904681170343033
0.23146857269212015,0.19208630216829006,0.1380092564354107
0.2170966273849388,0.19918365223929022,0.15898973687978593
0.2316240870246868,0.1982562923939195,0.13226043546620503
0.22672945773028486,0.1881096688718461,0.12487952066519883
0.2527241993775964,0.1862495801683345,0.14389280252697986
0.21879157734988963,0.20071072817897276,0.15914713777110742
0.23080050128738977,0.19756134775626494,0.1440941493904097
0.2312544998495555,0.17708047953258332,0.1437673682834166
0.22152223863437717,0.18554718843979665,0.14238777635211416
0.2264697669370772,0.17982582661274896,0.14854510156137193
0.21778627075254545,0.18231614265639684,0.12473427727517776
0.20688612266312253,0.19086827596037834,0.14018911351497337
0.2151054324275498,0.1877729195863372,0.13422020626148823
0.20646154638092454,0.18522348168594513,0.14428168036113392
0.22644955497096808,0.18467154144016312,0.13474084184354304
0.24385851499544656,0.1819550828344608,0.14140672356957515
0.21797595105018952,0.18340768601527863,0.13873434258819659
0.22360450655836797,0.19519551228289914,0.14746201600565392
0.22497717026688913,0.18283921885060378,0.14073309721086705
0.23198172341297543,0.1688133724778194,0.1454216805727684
0.22640946712880625,0.19595740139613446,0.13709740916396532
0.22657471669492105,0.19866330842132693,0.15178391246095516
0.23412518374084287,0.18835600293915986,0.16151742726781992
0.2397304219598246,0.18803522598177064,0.12634153901558198
0.2045982811829117,0.1863276329693084,0.12955233880013536
0.21656460534821706,0.20477256737338986,0.13347311622727315
0.21730535476904694,0.19202672163270923,0.1395459494757371
0.2529203497046466,0.19186059056784932,0.17229953648267793
0.22261142460898606,0.18490897409208118,0.11718971895573076
0.23601079886023468,0.18601318647892712,0.12970190064232967
0.2269364740657717,0.18188626083506412,0.14352496268345022
0.22767479774646976,0.19009364609606066,0.15038386602016987
0.2221650414814641,0.18232176888055548,0.1424053984624729
0.21767021754178134,0.1787820488315168,0.13233048526893695
0.2501608686043969,0.19029636286801452,0.15101395115764052
0.2217137484764918,0.19984406678579467,0.14364136843685255
0.2232482413346691,0.19547213445689526,0.1570126328941829
0.23077944231841208,0.1824532182109906,0.13870673418093826
0.22536368065310527,0.18527715147173493,0.1559456780077149
